ra101354_122307 A1 dados_n0010_g10_p00.txt 1 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 1 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 1 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

ra101354_122307 A1 dados_n0010_g10_p00.txt 2 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 2 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 2 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

ra101354_122307 A1 dados_n0010_g10_p00.txt 3 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 3 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 3 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

ra101354_122307 A1 dados_n0010_g10_p00.txt 4 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 4 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 4 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

ra101354_122307 A1 dados_n0010_g10_p00.txt 5 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 5 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 5 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

ra101354_122307 A1 dados_n0010_g10_p00.txt 6 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 6 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 6 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

ra101354_122307 A1 dados_n0010_g10_p00.txt 7 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 7 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 7 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

ra101354_122307 A1 dados_n0010_g10_p00.txt 8 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 8 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 8 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

ra101354_122307 A1 dados_n0010_g10_p00.txt 9 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 9 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 9 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

ra101354_122307 A1 dados_n0010_g10_p00.txt 10 10 0 1 2047 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A2 dados_n0010_g10_p00.txt 10 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]
ra101354_122307 A3 dados_n0010_g10_p00.txt 10 10 0 1 11 10 [0,  1,  2,  3,  4,  5,  6,  7,  8,  9,  ]

